bird_id,pre/post,parasite,Anti-helm.. 
38601,pre,npd,N
38602,pre,npd,Y
38603,pre,npd,N
38604,pre,npd,Y
38624,pre,npd,N
38642,pre,capillaria sp.,Y
38605,pre,npd,N
38607,pre,capillaria sp.,N
38608,pre,npd,Y
38609,pre,npd,N
38610,pre,npd,Y
38611,pre,npd,N
38613,pre,npd,N
38614,pre,npd,Y
38648,pre,capillaria sp.,Y
38615,pre,capillaria sp.,N
38617,pre,npd,Y
38618,pre,npd,N
38619,pre,npd,Y
38620,pre,capillaria sp.,N
38623,pre,npd,Y
38627,pre,npd,Y
38628,pre,npd,N
38631,pre,npd,Y
38632,pre,capillaria,N
38634,pre,npd,N
38636,pre,npd,Y
38641,pre,npd,N
38643,pre,npd,N
38644,pre,capillaria,Y
38645,pre,capillaria,N
38646,pre,capillaria,Y
38647,pre,capillaria,N
38637,pre,npd,N
38638,pre,npd,Y
38640,pre,npd,Y
38649,pre,capillaria sp.,N
38650,pre,npd,Y
38651,pre,npd,N
38652,pre,npd,Y
38653,pre,npd,N
38654,pre,npd,Y
38655,pre,npd,N
38656,pre,npd,Y
38658,pre,npd,Y
38660,pre,capillaria sp.,Y
"""70""",pre,npd,N
38662,pre,capillaria sp.,N
38663,pre,npd,Y
38664,pre,npd,Y
38667,pre,capillaria sp.,N
38668,pre,npd,Y
38602,post,capillaria,Y
38611,post,npd,N
38612,post,npd,Y
38619,post,npd,Y
38621,post,npd,Y
38622,post,npd,N
38624,post,npd,N
38625,post,npd,Y
38628,post,capillaria,N
38631,post,npd,Y
38632,post,capillaria,N
38634,post,npd,N
38644,post,capillaria,Y
38645,post,capillaria,N
38637,post,npd,N
38640,post,npd,Y
38638,post,capillaria,Y
38646,post,capillaria,Y
38648,post,npd,Y
38614,post,npd,Y
38607,post,npd,N
38636,post,npd,Y
38641,post,npd,N
38653,post,npd,N
38657,post,npd,N
38667,post,capillaria,N
38668,post,npd,Y
38669,post,npd,N